空間代號/擔保品細項,EUI
K1,196.5
K2,75.52
K3,214.14
K4,146
E1,1015.9
E2,485
F1,27.5
F2,25
I1,268.47
I2,353.1
I3,287.13
I4,792.59
D1,888.47
M1,226
M2,485
M3,533
M4,533
N1,78
N2,154
N3,167
N4,167
C2,87.7
I5,199.66
C1,128.27
B1,74.94
D2,617.94
D3,675.25
I6,231.88
I7,941.25
I8,141.66
I9,527.79
I10,128.61
J1,125.42
J2,87.75
J3,88.95
J4,64.03
H1,244.87
G1,320
L1,54
L2,50
L3,37
A1,20.78
A2,96.2
01,20.78
02,316.5
03,196.5
04,224
05,353.1
06,20.78
07,20.78
08,20.78
09,
10,
11,26.67
12,27.5
13,27.5
14,
15,
16,157
17,116.3333333
18,239
19,219
20,224
21,268.47
22,
23,20.78
24,96.2
25,74.94
26,226
27,320
28,
29,
30,20.78
31,78.52
32,
33,
