建物用途序號,建物分類,建物用途,EUI_乾冷氣候區,EUI_溼冷氣候區,EUI_乾熱氣候區,EUI_溼熱氣候區,EUI_海洋性熱氣候區,EUI_乾混合氣候區,EUI_溼混合氣候區,EUI_海洋性混合氣候區
A1,銀行/金融服務,銀行分行,232.85,315.05,160.58,260.21,546.0,276.24,279.93,157.53
A2,銀行/金融服務,金融辦公室,139.5,188.75,96.2,155.89,327.1,165.5,167.71,94.37
B1,教育,大學/學院,222.31,300.78,153.31,248.42,521.26,263.73,267.25,150.39
B2,教育,K-12學校,127.9,173.05,88.2,142.92,299.9,151.73,153.76,86.52
B3,教育,幼兒園/日托,170.88,231.21,117.84,190.96,400.69,202.72,205.43,115.6
B4,教育,職業學校/成人教育,138.18,186.96,95.29,154.42,324.01,163.93,166.12,93.48
C1,公眾集會,會議中心/會議廳,147.94,200.16,102.02,165.32,346.89,175.51,177.85,100.08
C2,公眾集會,休閒/運動中心,133.96,181.25,92.38,149.7,314.12,158.93,161.05,90.63
C3,公眾集會,娛樂場所,148.2,200.52,102.2,165.62,347.51,175.82,178.17,100.26
C4,公眾集會,宗教設施,80.43,108.82,55.47,89.88,188.6,95.42,96.69,54.41
D1,食品銷售服務,便利商店,610.22,825.63,420.82,681.91,1430.85,723.93,733.6,412.82
D2,食品銷售服務,酒吧/夜總會,344.67,466.34,237.69,385.16,808.18,408.89,414.35,233.17
D3,食品銷售服務,快餐店,1061.95,1436.83,732.34,1186.72,2490.08,1259.84,1276.66,718.41
D4,食品銷售服務,餐廳,858.63,1161.74,592.13,959.51,2013.33,1018.63,1032.24,580.87
D5,食品銷售服務,超市/雜貨店,516.87,699.33,356.44,577.59,1211.96,613.18,621.37,349.66
D6,食品銷售服務,批發商店,135.55,183.39,93.47,151.47,317.83,160.8,162.95,91.7
E1,醫療保健,門診手術中心,163.5,221.22,112.75,182.71,383.37,193.97,196.56,110.61
E2,醫療保健,醫院(一般醫療和外科),617.87,835.98,426.09,690.46,1448.78,733.0,742.79,417.99
E3,醫療保健,其他/專科醫院,545.08,737.5,375.9,609.12,1278.12,646.66,655.29,368.75
E4,醫療保健,醫療辦公室,135.02,182.68,93.11,150.88,316.59,160.18,162.32,91.34
E5,醫療保健,門診復健/物理治療,163.5,221.22,112.75,182.71,383.37,193.97,196.56,110.61
E6,醫療保健,急診/診所/其他門診,170.09,230.14,117.3,190.08,398.83,201.79,204.48,115.07
F1,住宿/住宅,軍營,157.66,222.31,133.31,118.34,202.83,206.97,325.92,93.87
F2,住宿/住宅,酒店,171.55,241.89,145.06,128.76,220.7,225.2,354.62,102.13
F3,住宿/住宅,多家庭住宅,162.29,228.84,137.23,121.81,208.79,213.05,335.49,96.62
F4,住宿/住宅,監獄,190.34,268.38,160.94,142.86,244.87,249.86,393.46,113.32
F5,住宿/住宅,宿舍,157.66,222.31,133.31,118.34,202.83,206.97,325.92,93.87
F6,住宿/住宅,養老院,269.58,380.12,227.94,202.34,346.81,353.89,557.27,160.5
G1,混合用途,混合用途物業,105.75,143.08,72.92,118.17,247.96,125.45,127.13,71.54
H1,辦公室,醫療辦公室,135.02,182.68,93.11,150.88,316.59,160.18,162.32,91.34
H2,辦公室,辦公室,139.5,188.75,96.2,155.89,327.1,165.5,167.71,94.37
H3,辦公室,獸醫辦公室,170.09,230.14,117.3,190.08,398.83,201.79,204.48,115.07
I1,公共服務設施,法院,266.87,361.08,184.04,298.23,625.77,316.6,320.83,180.54
I2,公共服務設施,消防/警察局,167.45,226.57,115.48,187.13,392.65,198.66,201.31,113.28
I3,公共服務設施,圖書館,188.81,255.47,130.21,211.0,442.74,224.0,226.99,127.73
I4,公共服務設施,郵寄中心/郵局,126.32,170.91,87.11,141.16,296.19,149.85,151.86,85.45
I5,公共服務設施,交通運輸轉運站,148.2,200.52,102.2,165.62,347.51,175.82,178.17,100.26
J1,零售,汽車經銷商,145.04,196.24,100.02,162.08,340.09,172.07,174.36,98.12
J2,零售,封閉式購物中心,173.26,234.42,119.48,193.61,406.25,205.54,208.29,117.21
J3,零售,連鎖商場,272.94,369.29,188.22,305.0,639.99,323.8,328.12,184.64
J4,零售,零售店,272.94,369.29,188.22,305.0,639.99,323.8,328.12,184.64
K1,科技/科學,實驗室,304.06,411.39,209.68,339.78,712.95,360.71,365.53,205.69
L1,個人服務,乾洗店、鞋修理店、鎖匠、沙龍等,126.32,170.91,87.11,141.16,296.19,149.85,151.86,85.45
M1,公有設施,飲用水處理,6.07,8.21,4.18,6.78,14.22,7.2,7.29,4.1
M2,公有設施,能源/發電站,105.75,143.08,72.92,118.17,247.96,125.45,127.13,71.54
N1,倉庫/倉儲,自存倉,53.27,72.07,36.74,59.53,124.91,63.2,64.04,36.04
N2,倉庫/倉儲,配送中心,59.86,80.99,41.28,66.89,140.36,71.02,71.96,40.5
N3,倉庫/倉儲,非冷藏倉庫,59.86,80.99,41.28,66.89,140.36,71.02,71.96,40.5
N4,倉庫/倉儲,冷藏倉庫,221.78,300.07,152.94,247.83,520.03,263.1,266.62,150.03
